latitude,longitude,copper_present,rock_type,rock_code,rock_favorability,is_intrusive,is_metamorphic,is_sedimentary,is_volcanic,clay_gridcode,clay_percent,soil_depth_code,soil_depth_class,dist_to_faults_m,inv_dist_faults,dist_to_dykes_m,inv_dist_dykes,dist_to_deposits_m,inv_dist_deposits,dist_to_rivers_m,inv_dist_rivers,structural_corridor
-29.862514144210188,11.444760708979217,0,No Data,ND,0.2,0,0,0,0,,,,,465486.8665813806,2.1482837078958992e-06,524414.813040562,1.9068837650070117e-06,549785.141071746,1.8188890648473112e-06,467059.34789107397,2.1410509466610002e-06,4.096527325215755e-12
-29.862514144210188,11.544760708979217,0,No Data,ND,0.2,0,0,0,0,,,,,456746.01506386686,2.189395807786878e-06,515814.52715550695,1.93867758404745e-06,540917.8048784648,1.8487062956235787e-06,458646.2679190049,2.180324772318486e-06,4.24453257516388e-12
-29.862514144210188,11.644760708979216,0,No Data,ND,0.2,0,0,0,0,,,,,448047.8261416795,2.2318996092711237e-06,507257.47315605154,1.9713815597366332e-06,532082.650419977,1.8794037351282898e-06,450288.68101913406,2.2207926189574556e-06,4.39992573290049e-12
-29.862514144210188,11.744760708979216,0,No Data,ND,0.2,0,0,0,0,,,,,439394.7682744115,2.2758525962304667e-06,498745.8172445836,2.0050253263262504e-06,523281.25056555955,1.911014560343309e-06,441989.6706629597,2.262491193535962e-06,4.5631420944274356e-12
-29.862514144210188,11.844760708979216,0,No Data,ND,0.2,0,0,0,0,,,,,430789.4964601362,2.3213139756265178e-06,490281.86549879774,2.0396388908729917e-06,514515.28095112287,1.9435730938415074e-06,433752.5352685375,2.305456713755424e-06,4.734642262614846e-12
-29.862514144210188,11.944760708979215,0,No Data,ND,0.2,0,0,0,0,,,,,422234.8684214452,2.368344507866093e-06,481868.0739934522,2.0752524990088663e-06,505786.52777215827,1.9771147865284437e-06,425580.80448127113,2.3497245170499474e-06,4.914912858463033e-12
-29.862514144210188,12.044760708979215,0,No Data,ND,0.2,0,0,0,0,,,,,413733.9622806057,2.4170062749538057e-06,473507.0596636145,2.111896470591042e-06,497096.8962240568,2.0116761861113776e-06,417475.16380655835,2.395346337577634e-06,5.1044670214713435e-12
-29.862514144210188,12.144760708979215,0,No Data,ND,0.2,0,0,0,0,,,,,405290.09584743995,2.467362372985418e-06,465201.61195092613,2.149601000317447e-06,488448.4196431399,2.0472948882416483e-06,409441.8101895449,2.442343533977471e-06,5.303844625115085e-12
-29.862514144210188,12.244760708979214,0,No Data,ND,0.2,0,0,0,0,,,,,396906.8476470786,2.519476513070049e-06,456954.70527269016,2.1883959177252114e-06,479843.2694050963,2.0840094667375833e-06,401485.8531160277,2.4907415827910182e-06,5.513612116007046e-12
-29.862514144210188,12.344760708979214,0,No Data,ND,0.2,0,0,0,0,,,,,388588.0798157194,2.573412511937366e-06,448769.5123503725,2.228310400259234e-06,471283.76564064686,2.121859378672335e-06,393611.92579417,2.540566974477167e-06,5.734361864507273e-12
-29.862514144210188,12.444760708979214,0,No Data,ND,0.2,0,0,0,0,,,,,380337.9629900043,2.6292336502644382e-06,440491.4054144358,2.270186699494066e-06,462772.3888311191,2.160884839393676e-06,385824.9913551902,2.5918419764504747e-06,5.9688512626925605e-12
-29.862514144210188,12.544760708979213,0,No Data,ND,0.2,0,0,0,0,,,,,372161.00330814056,2.6870018731386336e-06,431461.6453391847,2.3176977446422332e-06,454311.79234895104,2.2011266617205765e-06,378130.366088858,2.6445835751298335e-06,6.227658181222867e-12
-29.862514144210188,12.644760708979213,0,No Data,ND,0.2,0,0,0,0,,,,,364062.0716267348,2.7467768030734966e-06,422463.60396546463,2.3670622121084193e-06,445904.8160097442,2.2426260526239634e-06,370533.74366345786,2.6988022502641767e-06,6.501791575651243e-12
-29.862514144210188,12.744760708979213,0,No Data,ND,0.2,0,0,0,0,,,,,356046.43503429217,2.808614531666789e-06,413499.299327099,2.418377934979319e-06,437554.50070309563,2.285424359636956e-06,363041.22016437293,2.7545005634530183e-06,6.7922914112452364e-12
-29.862514144210188,12.844760708979212,0,No Data,ND,0.2,0,0,0,0,,,,,348119.79070751736,2.8725661514430367e-06,404570.9221965177,2.4717483966034045e-06,429264.1041684911,2.329562758046807e-06,355659.3197151205,2.8116715432325642e-06,7.100260778966538e-12
-29.862514144210188,12.944760708979212,0,No Data,ND,0.2,0,0,0,0,,,,,340288.30210675375,2.9386759848427013e-06,395680.8537180795,2.5272829436158395e-06,421037.1179797973,2.3750818685921995e-06,348388.2723917923,2.8703524455122083e-06,7.426865693306439e-12
-29.862514144210188,13.044760708979211,0,No Data,ND,0.2,0,0,0,0,,,,,332558.637437645,3.0069794630068427e-06,386831.6850864356,2.585096964535341e-06,412877.2857964575,2.4220212939291853e-06,341241.2305385805,2.9304696503176238e-06,7.773333482239099e-12
-29.862514144210188,13.144760708979211,0,No Data,ND,0.2,0,0,0,0,,,,,324938.01021260594,3.0775006034077137e-06,378026.2395228596,2.645312018420115e-06,404788.6229308029,2.4704190605472754e-06,334226.87768467236,2.9919706486705788e-06,8.14094933288958e-12
-29.862514144210188,13.24476070897921,0,No Data,ND,0.2,0,0,0,0,,,,,317434.221621939,3.1502490331428515e-06,369267.59683242696,2.708055893671882e-06,396775.43726788444,2.5203109511385825e-06,327352.5866059128,3.054800805356252e-06,8.531050460736647e-12
-29.862514144210188,13.34476070897921,0,No Data,ND,0.2,0,0,0,0,,,,,310055.70426378085,3.2252165047502075e-06,360559.1208572094,2.7734625715749203e-06,388842.35155577096,2.57172971068935e-06,320616.145805773,3.1189847863151744e-06,8.945017261150386e-12
-29.862514144210188,13.44476070897921,0,No Data,ND,0.2,0,0,0,0,,,,,302811.5665771927,3.302372854942534e-06,351904.4901748472,2.841672062300425e-06,380994.32705900137,2.624704107841036e-06,314038.9293679627,3.184308447695176e-06,9.384260681189494e-12
-29.862514144210188,13.54476070897921,0,No Data,ND,0.2,0,0,0,0,,,,,295711.6370659018,3.381661365311021e-06,343307.7324271597,2.912830072599949e-06,373236.6885340797,2.6792578314574244e-06,307631.1051182811,3.250636014129641e-06,9.850204920227344e-12
-29.862514144210188,13.64476070897921,0,No Data,ND,0.2,0,0,0,0,,,,,288766.5070842974,3.462993499847192e-06,334773.2626986496,2.987087453912668e-06,365575.15044171957,2.735408200977325e-06,301403.4337297616,3.317801226827995e-06,1.0344264436374669e-11
-29.862514144210188,13.744760708979209,0,No Data,ND,0.2,0,0,0,0,,,,,281987.5705763472,3.5462430195526466e-06,326305.92639784096,3.0645993667347925e-06,358015.8442536683,2.7931646682284663e-06,295367.26924926083,3.385604020843896e-06,1.086781411200872e-11
-29.862514144210188,13.844760708979209,0,No Data,ND,0.2,0,0,0,0,,,,,275387.05870932096,3.6312395122968103e-06,317911.04712242156,3.1455240814291007e-06,350565.34663986653,2.8525270881956348e-06,288416.86745621054,3.4671915745713167e-06,1.142215133136648e-11
-29.862514144210188,13.944760708979208,0,No Data,ND,0.2,0,0,0,0,,,,,268978.06683012535,3.7177614294853414e-06,309594.4800079251,3.2300213167659997e-06,343230.7082317487,2.9134837371284004e-06,279897.2803972123,3.572726486853971e-06,1.2008448667888088e-11
-29.862514144210188,14.044760708979208,0,No Data,ND,0.2,0,0,0,0,,,,,262774.5706032929,3.8055287928940713e-06,301362.671062947,3.3182499950072816e-06,336019.4825466209,2.976009058796753e-06,271458.38449805236,3.683792335450369e-06,1.2627695898020819e-11
-29.862514144210188,14.144760708979208,0,No Data,ND,0.2,0,0,0,0,,,,,256791.42758936985,3.894195827297035e-06,293222.7229732273,3.410365266016708e-06,328939.75452356524,3.040061124223998e-06,263107.90540490346,3.8007075376680252e-06,1.3280630188481008e-11
-29.862514144210188,14.244760708979207,0,No Data,ND,0.2,0,0,0,0,,,,,251044.35993000484,3.983343887649685e-06,285182.4678004766,3.5065146227187046e-06,322000.1679605219,3.105578797535922e-06,254854.4975571755,3.9237921472565265e-06,1.3967653589360794e-11
-29.862514144210188,14.344760708979207,0,No Data,ND,0.2,0,0,0,0,,,,,245549.9132822616,4.072475180943418e-06,277250.54689367785,3.606832896710532e-06,315209.9509532858,3.1724786114686728e-06,246707.8686772094,4.05336056770779e-06,1.46887374536639e-11
-29.862514144210188,14.444760708979206,0,No Data,ND,0.2,0,0,0,0,,,,,240325.38677510613,4.161007925175462e-06,269436.4981495548,3.7114358872384453e-06,308578.938219467,3.2406513714730993e-06,238678.92021024844,4.189711472666489e-06,1.5443314140579795e-11
-29.862514144210188,14.544760708979206,0,No Data,ND,0.2,0,0,0,0,,,,,235388.7286576679,4.248273727586136e-06,261750.85047734954,3.820412341598838e-06,302117.588945455,3.309958528174318e-06,230779.90472246104,4.333114133522477e-06,1.6230157379360175e-11
-29.862514144210188,14.644760708979206,0,No Data,ND,0.2,0,0,0,0,,,,,230758.3926068803,4.33351808003582e-06,254205.224905832,3.933813974738185e-06,295836.99852645904,3.380228385065154e-06,223024.60071611154,4.483790187265974e-06,1.7047253983025498e-11
-29.862514144210188,14.744760708979205,0,No Data,ND,0.2,0,0,0,0,,,,,226453.1505097387,4.415904931523853e-06,246812.44117418965,4.0516431975608885e-06,289748.9022873754,3.45125224238452e-06,215428.50438575368,4.64188971167744e-06,1.78916711768842e-11
-29.862514144210188,14.844760708979205,0,No Data,ND,0.2,0,0,0,0,,,,,222491.85907438697,4.4945262700124045e-06,239586.6278217976,4.173838228173401e-06,283060.2958579219,3.532803723550867e-06,208009.03635229525,4.807460339588396e-06,1.875942556330738e-11
-29.862514144210188,14.944760708979205,0,No Data,ND,0.2,0,0,0,0,,,,,218893.1799583974,4.56841748917243e-06,232543.33267732177,4.300255303953585e-06,276269.1451336927,3.619645544820197e-06,200785.75916175585,4.980408091523554e-06,1.964536153848806e-11
-29.862514144210188,15.044760708979204,0,No Data,ND,0.2,0,0,0,0,,,,,215675.2562582735,4.6365789973769506e-06,225699.62918725263,4.430647816982156e-06,269659.1351438257,3.7083716488780987e-06,193780.59806984503,5.160448721449641e-06,2.05430486129935e-11
-29.862514144210188,15.144760708979204,0,No Data,ND,0.2,0,0,0,0,,,,,212855.35208374815,4.698004030467227e-06,219074.21216876974,4.564642389708729e-06,263243.9007444611,3.798744048496221e-06,187018.05307822156,5.347048782145985e-06,2.1444708344493163e-11
-29.862514144210188,15.244760708979204,0,No Data,ND,0.2,0,0,0,0,,,,,209268.98549855588,4.778516124123785e-06,212687.47430027142,4.701712226249788e-06,257038.0182996426,3.8904599255598325e-06,180525.38410218153,5.539356504443029e-06,2.2467207684124548e-11
-29.862514144210188,15.344760708979203,0,No Data,ND,0.2,0,0,0,0,,,,,202677.317019509,4.9339268980793046e-06,206561.55200759173,4.841148554183467e-06,251057.00838118052,3.983143204425104e-06,174332.7434276668,5.736124173888988e-06,2.3885873069083543e-11
-29.862514144210188,15.444760708979203,0,No Data,ND,0.2,0,0,0,0,,,,,196345.99199822583,5.09302429246808e-06,200720.32649118436,4.982031642979999e-06,245317.31753882623,4.076336451483005e-06,168473.22046857132,5.9356262175823446e-06,2.5373608183541795e-11
-29.862514144210188,15.544760708979203,0,No Data,ND,0.2,0,0,0,0,,,,,190301.00047219472,5.254805506609014e-06,195189.36273932282,5.123203758453496e-06,239836.2735993458,4.169493694589463e-06,162982.75405710103,6.135580848442428e-06,2.6921439321401427e-11
-29.862514144210188,15.644760708979202,0,No Data,ND,0.2,0,0,0,0,,,,,184570.48607626776,5.4179549683356e-06,189995.76695236337,5.2632474543670705e-06,234632.00851750662,4.261974929777995e-06,157899.85880584538,6.333087784086078e-06,2.851603769496777e-11
-29.862514144210188,15.744760708979202,0,No Data,ND,0.2,0,0,0,0,,,,,179184.63579010125,5.580804485753556e-06,185167.94157186974,5.4004737053155825e-06,229723.34268429462,4.353043253123067e-06,153265.10742813026,6.524599709488422e-06,3.013898787981933e-11
-29.862514144210188,15.844760708979202,0,No Data,ND,0.2,0,0,0,0,,,,,174175.44311578257,5.74130451920675e-06,180735.21801733368,5.532925337101466e-06,225129.6249631987,4.441865695364486e-06,149120.31458523934,6.705949466589428e-06,3.176620924233418e-11
-29.862514144210188,15.944760708979201,0,No Data,ND,0.2,0,0,0,0,,,,,169576.31280704334,5.897015251903822e-06,176727.35139583578,5.658401677499962e-06,220870.52375545524,4.527518907811679e-06,145507.38498281167,6.872456182632541e-06,3.336768099361545e-11
-29.862514144210188,16.0447607089792,0,No Data,ND,0.2,0,0,0,0,,,,,165421.47877905145,6.0451276475893104e-06,173050.264177921,5.77863446852292e-06,216965.7662610013,4.609000803362875e-06,142466.8235693452,7.019128775510893e-06,3.493258299098047e-11
-29.862514144210188,16.1447607089792,0,No Data,ND,0.2,0,0,0,0,,,,,161745.21697781692,6.1825248137775455e-06,169763.13273560104,5.890525777653215e-06,213029.8650087855,4.694155468780355e-06,140035.96002698352,7.140971924892625e-06,3.6418321786537276e-11
-29.862514144210188,16.2447607089792,0,No Data,ND,0.2,0,0,0,0,,,,,158580.8534925521,6.3058917396684715e-06,166978.8584637887,5.9887462428102384e-06,205394.3593545545,4.868659170988352e-06,138247.00797688775,7.2333772806851554e-06,3.7764385463507676e-11
-29.862514144210188,16.3447607089792,0,No Data,ND,0.2,0,0,0,0,,,,,155959.59538701834,6.411876009568227e-06,164722.98563133928,6.07076131728655e-06,197941.02233266947,5.051984354890337e-06,137125.14738364975,7.292555206135946e-06,3.8924968850124436e-11
-29.862514144210188,16.4447607089792,0,No Data,ND,0.2,0,0,0,0,,,,,153909.24544173092,6.4972932577031805e-06,162922.2135882402,6.137860762600253e-06,190691.24805585993,5.244051660175864e-06,136686.86506479076,7.3159383938434826e-06,3.987948134956353e-11
-29.862514144210188,16.544760708979197,0,No Data,ND,0.2,0,0,0,0,,,,,152452.8967891538,6.559360049569714e-06,161680.738383634,6.184990401496225e-06,183271.98879457623,5.456341420398083e-06,136938.79076723245,7.302479391835644e-06,4.056957894654649e-11
-29.862514144210188,16.6447607089792,0,No Data,ND,0.2,0,0,0,0,,,,,151607.7308346142,6.595926200918287e-06,156855.86263718037,6.37523907585135e-06,175825.47803942978,5.687425529707454e-06,137877.21258291535,7.252777514784168e-06,4.2050606457526005e-11
-29.862514144210188,16.7447607089792,0,No Data,ND,0.2,0,0,0,0,,,,,151384.05233993835,6.605671990352646e-06,150949.30910746305,6.624696603225171e-06,168609.22808581503,5.930838308877946e-06,139488.35213964593,7.16900598261348e-06,4.3760572796508826e-11
-29.862514144210188,16.844760708979198,0,No Data,ND,0.2,0,0,0,0,,,,,149586.73918553922,6.685039866533867e-06,145452.01756174126,6.875072217566916e-06,161654.13508352253,6.186008254444432e-06,138251.7749751909,7.233127871606537e-06,4.596013185973423e-11
-29.862514144210188,16.944760708979196,0,No Data,ND,0.2,0,0,0,0,,,,,144324.92890666894,6.928761918079659e-06,140412.14009673157,7.121840586366014e-06,154995.42386836326,6.451761757092466e-06,134611.19556279705,7.428747416377267e-06,4.9345537841446943e-11
-29.862514144210188,17.044760708979197,0,No Data,ND,0.2,0,0,0,0,,,,,139541.7561841212,7.166262351021211e-06,135880.66642883807,7.35934454059485e-06,148672.99485708622,6.726125849791391e-06,131588.73646206237,7.599376873045888e-06,5.2738993709458365e-11
-29.862514144210188,17.1447607089792,0,No Data,ND,0.2,0,0,0,0,,,,,135288.08667820884,7.391579206817656e-06,131910.093821909,7.5808635272942525e-06,142731.62383767567,7.006106754803735e-06,129227.87215011669,7.738208833381798e-06,5.6034553218070546e-11
-29.862514144210188,17.244760708979197,0,No Data,ND,0.2,0,0,0,0,,,,,131615.36671072428,7.5978392732711615e-06,128552.50635869807,7.77886211216781e-06,137185.8418357259,7.289328820598173e-06,126511.62249956452,7.904349623322702e-06,5.910254405718964e-11
-29.862514144210188,17.344760708979194,0,No Data,ND,0.2,0,0,0,0,,,,,128573.4965382159,7.77759218915372e-06,125857.08166996359,7.945457190602111e-06,131970.75404858027,7.5773790172697775e-06,123897.17448240651,8.071143938783372e-06,6.179652578488224e-11
-29.862514144210188,17.444760708979196,0,No Data,ND,0.2,0,0,0,0,,,,,125956.51482344996,7.939184902160568e-06,123867.17153370465,8.073098905217142e-06,127284.05443733606,7.856381917111186e-06,122002.52658949254,8.196484380035325e-06,6.409382494194894e-11
-29.862514144210188,17.544760708979197,0,No Data,ND,0.2,0,0,0,0,,,,,121913.20904231964,8.20248933947374e-06,122617.25414555217,8.15539257974563e-06,123186.18597677269,8.117727441136232e-06,119949.57176229278,8.33676726428374e-06,6.689452069458678e-11
-29.862514144210188,17.644760708979195,0,No Data,ND,0.2,0,0,0,0,,,,,118132.45812730181,8.465002344402632e-06,119999.64478527005,8.333288556819062e-06,119737.74959899891,8.351515306022208e-06,116252.91030341605,8.601861196669061e-06,7.0541307170057e-11
-29.862514144210188,17.744760708979193,0,No Data,ND,0.2,0,0,0,0,,,,,114276.39556691787,8.750636948270544e-06,115971.39448014852,8.622741683333737e-06,116996.32455852677,8.547203996103002e-06,113270.57098440682,8.828340521009123e-06,7.545448196957275e-11
-29.862514144210188,17.844760708979194,0,No Data,ND,0.2,0,0,0,0,,,,,111137.44791692162,8.997786263377741e-06,112638.55050482707,8.877876336670448e-06,115012.62765656879,8.694621849386444e-06,110007.08703373504,9.090240790146095e-06,7.988123375005966e-11
-29.862514144210188,17.944760708979196,0,No Data,ND,0.2,0,0,0,0,,,,,108777.87621890026,9.192961306087207e-06,110064.46423884507,9.085502041130473e-06,113249.63340173801,8.829972689447699e-06,107451.52592397825,9.306435483028956e-06,8.352266871048878e-11
-29.862514144210188,18.044760708979194,0,No Data,ND,0.2,0,0,0,0,,,,,107249.30638271732,9.323982688045202e-06,108303.42100702407,9.233233423916695e-06,111698.4540241208,8.952595236356806e-06,105714.94903425865,9.459310625645869e-06,8.609050859927959e-11
-29.862514144210188,18.14476070897919,0,No Data,ND,0.2,0,0,0,0,,,,,106587.67795031912,9.381859492300852e-06,107395.60413021305,9.31128137708665e-06,110979.34055241836,9.010604896528307e-06,104853.0842372145,9.537062931546571e-06,8.735713357310454e-11
-29.862514144210188,18.244760708979193,0,No Data,ND,0.2,0,0,0,0,,,,,106809.29146124961,9.362393701198695e-06,107009.67302274516,9.344862262360031e-06,111108.63119467814,9.000119874827714e-06,104887.68803264009,9.533916561992006e-06,8.749027958368894e-11
