latitude,longitude,gold_present,rock_type,rock_code,rock_favorability,is_intrusive,is_metamorphic,is_sedimentary,is_volcanic,clay_gridcode,clay_percent,soil_depth_code,soil_depth_class,dist_to_faults_m,inv_dist_faults,dist_to_dykes_m,inv_dist_dykes,dist_to_deposits_m,inv_dist_deposits,dist_to_rivers_m,inv_dist_rivers,structural_corridor
-29.653314826107337,12.258660466750438,0,No Data,ND,0.2,0,0,0,0,,,,,384548.2205417592,2.6004473460931314e-06,443994.79745341605,2.25227357046081e-06,577229.4335564774,1.732410389103571e-06,387491.50866081467,2.580695052547026e-06,5.856918828980515e-12
-29.653314826107337,12.358660466750438,0,No Data,ND,0.2,0,0,0,0,,,,,375974.03184141504,2.659751087997238e-06,435579.7650512919,2.2957854897064724e-06,567682.8302955866,1.761543920458878e-06,379349.2639111856,2.6360862114336695e-06,6.106217954055062e-12
-29.653314826107337,12.458660466750437,0,No Data,ND,0.2,0,0,0,0,,,,,367459.663741645,2.721379724886912e-06,427223.37912003114,2.3406903933238424e-06,558143.0781075985,1.7916520827212305e-06,371282.9471521137,2.6933564127142387e-06,6.369907378629076e-12
-29.653314826107337,12.558660466750437,0,No Data,ND,0.2,0,0,0,0,,,,,359009.31062638975,2.785435321496009e-06,418929.09432731895,2.387033095833595e-06,548610.4879308586,1.8227835581270761e-06,363301.02414116426,2.7525307693068098e-06,6.648926298714863e-12
-29.653314826107337,12.658660466750437,0,No Data,ND,0.2,0,0,0,0,,,,,350627.53997786046,2.852021116316266e-06,410700.6192581539,2.434857699870504e-06,539085.3939213749,1.854990241408038e-06,355409.121275434,2.8136508786282564e-06,6.94426557525593e-12
-29.653314826107337,12.758660466750436,0,No Data,ND,0.2,0,0,0,0,,,,,342319.3295554719,2.921240468828052e-06,402541.9366698109,2.4842070470118772e-06,529568.1554956419,1.8883275009928889e-06,347613.31114219176,2.8767515258914344e-06,7.256966158678927e-12
-29.653314826107337,12.858660466750436,0,No Data,ND,0.2,0,0,0,0,,,,,334090.1082411009,2.993195494680265e-06,394457.32522804884,2.535122054837779e-06,520059.15959027415,1.92285446512158e-06,339920.1476497353,2.941858742576467e-06,7.588115913005015e-12
-29.653314826107337,12.958660466750436,0,No Data,ND,0.2,0,0,0,0,,,,,325945.8007910948,3.0679853202207624e-06,385803.8576071699,2.5919839532404473e-06,510558.8231653915,1.9586343355420243e-06,332336.7028358386,3.0089875192221556e-06,7.952168718789471e-12
-29.653314826107337,13.058660466750435,0,No Data,ND,0.2,0,0,0,0,,,,,317892.8766984356,3.1457038757265285e-06,376739.1035132409,2.6543497511271827e-06,501067.5959825367,1.99573473176685e-06,324870.6050442391,3.078139130884726e-06,8.349798299654525e-12
-29.653314826107337,13.158660466750435,0,No Data,ND,0.2,0,0,0,0,,,,,309938.4033061369,3.2264371336234023e-06,367709.3066915555,2.719532147459834e-06,491585.96369235235,2.0342280692085755e-06,317527.8677830579,3.1493199562668425e-06,8.774399506647003e-12
-29.653314826107337,13.258660466750435,0,No Data,ND,0.2,0,0,0,0,,,,,302090.1032163974,3.3102596844226438e-06,358717.05750365934,2.787704658525028e-06,482114.4512724228,2.0741919748905597e-06,310313.25930110354,3.2225396353110605e-06,9.228026343192592e-12
-29.653314826107337,13.358660466750434,0,No Data,ND,0.2,0,0,0,0,,,,,294356.4158980258,3.397230529929743e-06,349765.2034607249,2.8590526760607663e-06,472653.62686170667,2.115709744850522e-06,303242.20819702116,3.297683090565005e-06,9.712861037790968e-12
-29.653314826107337,13.458660466750434,0,No Data,ND,0.2,0,0,0,0,,,,,286746.5631933402,3.4873879619536563e-06,340856.8798762643,2.933774042023064e-06,463204.10604501603,2.1588708478157757e-06,296324.9420383189,3.3746623502531096e-06,1.0231208277243354e-11
-29.653314826107337,13.558660466750434,0,No Data,ND,0.2,0,0,0,0,,,,,279270.61814843677,3.580743387494844e-06,331995.5446902568,3.0120795411680295e-06,453766.55664923944,2.2037714802360718e-06,289559.89357978554,3.4535050214730056e-06,1.0785483899645926e-11
-29.653314826107337,13.658660466750433,0,No Data,ND,0.2,0,0,0,0,,,,,271939.5762178824,3.6772739614951274e-06,323185.01807340933,3.094193263561474e-06,444341.70412264095,2.2505151783115464e-06,282968.3077480419,3.533952172969967e-06,1.137819631992824e-11
-29.653314826107337,13.758660466750433,0,No Data,ND,0.2,0,0,0,0,,,,,264765.42740494484,3.776913900305639e-06,314429.5275060932,3.1803527727778323e-06,434930.337579908,2.2992134932477115e-06,276565.0475995762,3.6157728277906387e-06,1.2011918595380177e-11
-29.653314826107337,13.858660466750433,0,No Data,ND,0.2,0,0,0,0,,,,,257761.22726885357,3.879544379312686e-06,305733.7591204573,3.2708089942956313e-06,425533.3166089628,2.349986736601862e-06,270363.4521115836,3.6987110997391197e-06,1.2689248649624994e-11
-29.653314826107337,13.958660466750432,0,No Data,ND,0.2,0,0,0,0,,,,,250941.16394078734,3.984981974714944e-06,297102.9161948276,3.3658257111099277e-06,416151.578951308,2.402964803245891e-06,264377.673131668,3.782453358111726e-06,1.3412754788805171e-11
-29.653314826107337,14.058660466750432,0,No Data,ND,0.2,0,0,0,0,,,,,244320.61732585335,4.092965702115067e-06,288542.7857935603,3.4656785182525246e-06,406786.1491862929,2.4582880801429603e-06,258622.65839232306,3.866622281257173e-06,1.4184903309764549e-11
-29.653314826107337,14.158660466750431,0,No Data,ND,0.2,0,0,0,0,,,,,237916.2055283618,4.203142844500127e-06,280059.81464758277,3.5706530428341416e-06,397438.14857176936,2.5161084497930896e-06,250847.6222875469,3.98646797770212e-06,1.5007964787180927e-11
-29.653314826107337,14.258660466750431,0,No Data,ND,0.2,0,0,0,0,,,,,231745.8122442357,4.315053960466605e-06,271661.1954616769,3.681042179242304e-06,388108.80621980265,2.5765903978052507e-06,242212.9297644502,4.128581708626282e-06,1.5883895634184128e-11
-29.653314826107337,14.35866046675043,0,No Data,ND,0.2,0,0,0,0,,,,,225828.5874764023,4.4281177288361e-06,263354.96489988087,3.797142017953406e-06,378799.47181732213,2.639912234539807e-06,233664.2193732026,4.279627077929951e-06,1.6814191888607963e-11
-29.653314826107337,14.45866046675043,0,No Data,ND,0.2,0,0,0,0,,,,,220184.9125576253,4.541616620174499e-06,255150.11451800333,3.9192460589053805e-06,369511.6301387615,2.706267441046533e-06,225211.24825220674,4.440255837596086e-06,1.7799713039678082e-11
-29.653314826107337,14.55866046675043,0,No Data,ND,0.2,0,0,0,0,,,,,214836.31929178754,4.654684778680472e-06,247056.7158496601,4.047637195061422e-06,360246.91764219577,2.775866149469923e-06,216865.17989834517,4.611138539299878e-06,1.884047524147332e-11
-29.653314826107337,14.65866046675043,0,No Data,ND,0.2,0,0,0,0,,,,,209805.35231297076,4.766299918833189e-06,239086.06066173196,4.182576828843247e-06,351007.14149362803,2.8489367675198305e-06,208638.81446944218,4.792949047347155e-06,1.993541559982915e-11
-29.653314826107337,14.75866046675043,0,No Data,ND,0.2,0,0,0,0,,,,,205115.3638619178,4.875281431340064e-06,231250.81700938984,4.324290346913882e-06,341794.3014277976,2.925727755246058e-06,200546.8565058078,4.986341003206086e-06,2.1082132432032333e-11
-29.653314826107337,14.858660466750429,0,No Data,ND,0.2,0,0,0,0,,,,,200790.2315084551,4.980297159828372e-06,223565.20104631863,4.472948036509415e-06,332610.61493031465,3.0065095598345527e-06,192606.2238913895,5.191913261591353e-06,2.2276610402287734e-11
-29.653314826107337,14.958660466750429,0,No Data,ND,0.2,0,0,0,0,,,,,196853.99233812402,5.07988132849773e-06,216045.16345698052,4.6286403979542164e-06,323458.5463177212,3.0915767099287914e-06,184836.40056705978,5.4101604812235815e-06,2.3512943933897927e-11
-29.653314826107337,15.058660466750428,0,No Data,ND,0.2,0,0,0,0,,,,,193330.39212219423,5.172465728524597e-06,208708.587711957,4.791346727109221e-06,314340.84040234034,3.1812500643250506e-06,177259.83283242054,5.6414041614335835e-06,2.478307673945094e-11
-29.653314826107337,15.158660466750428,0,No Data,ND,0.2,0,0,0,0,,,,,190242.35513243757,5.256425378451993e-06,201575.4949046617,4.960895864733452e-06,305260.56156124116,3.275879199744516e-06,169902.36426084006,5.885698640226888e-06,2.607657892324246e-11
-29.653314826107337,15.258660466750428,0,No Data,ND,0.2,0,0,0,0,,,,,187611.3892895865,5.3301383975045685e-06,194668.2464804001,5.136918224526456e-06,296221.1391875842,3.3758449072800218e-06,162793.696257189,6.142706261266421e-06,2.738048507338946e-11
-29.653314826107337,15.358660466750427,0,No Data,ND,0.2,0,0,0,0,,,,,185127.35180175133,5.401657770231064e-06,188011.73149174458,5.318788744069222e-06,287226.4206929912,3.481561745000907e-06,155967.84879499313,6.411536712144417e-06,2.8730276547619032e-11
-29.653314826107337,15.458660466750427,0,No Data,ND,0.2,0,0,0,0,,,,,178232.46358306316,5.610618678988777e-06,181633.51894761264,5.5055614196793824e-06,278280.7334568382,3.593480562227061e-06,149463.57746254173,6.690548469590505e-06,3.0889605739573113e-11
-29.653314826107337,15.558660466750426,0,No Data,ND,0.2,0,0,0,0,,,,,171612.74019465115,5.827039250270754e-06,175563.94838710123,5.695897781344776e-06,269388.95738825446,3.71209086520907e-06,143324.67757385573,6.977116849733363e-06,3.3190219937426115e-11
-29.653314826107337,15.658660466750426,0,No Data,ND,0.2,0,0,0,0,,,,,165301.2523688166,6.04952434506963e-06,169836.1233838495,5.8879942151392675e-06,260556.6100846794,3.837922828947529e-06,137600.07406522502,7.267385133389181e-06,3.561956434811415e-11
-29.653314826107337,15.758660466750426,0,No Data,ND,0.2,0,0,0,0,,,,,159334.648105653,6.276059449903612e-06,164485.76426480667,6.0795165159313575e-06,251789.94694138522,3.971548668240211e-06,132343.5605868712,7.5560340037065466e-06,3.815540708065608e-11
-29.653314826107337,15.858660466750425,0,No Data,ND,0.2,0,0,0,0,,,,,153753.1042606369,6.503891423313461e-06,159550.869797843,6.267554252212963e-06,243096.07899086288,4.1135829527494495e-06,127613.02148049625,7.836129513031873e-06,4.076349234611971e-11
-29.653314826107337,15.958660466750425,0,No Data,ND,0.2,0,0,0,0,,,,,148600.0434584801,6.7294278473852384e-06,155071.13596067365,6.4486117625515934e-06,234483.11172493693,4.26468127261883e-06,123468.96280515818,8.099135832559134e-06,4.33954675718907e-11
-29.653314826107337,16.058660466750425,0,No Data,ND,0.2,0,0,0,0,,,,,143921.531310764,6.948182406830763e-06,151087.08716883473,6.6186555057947165e-06,225960.30866067918,4.425536415624485e-06,119972.21738083287,8.335193652644026e-06,4.5987625742236414e-11
-29.653314826107337,16.158660466750426,0,No Data,ND,0.2,0,0,0,0,,,,,139765.27112820395,7.154802027183841e-06,147457.43890232051,6.781571861495296e-06,217538.28391963447,4.596870882269843e-06,117180.799226211,8.533748471207309e-06,4.852080410211944e-11
-29.653314826107337,16.258660466750424,0,No Data,ND,0.2,0,0,0,0,,,,,136179.13649403062,7.343214845755676e-06,144327.18853440395,6.928653440153355e-06,209229.22853329964,4.779424115769423e-06,115146.07521619277,8.684545379224475e-06,5.0878590802830254e-11
-29.653314826107337,16.358660466750422,0,No Data,ND,0.2,0,0,0,0,,,,,133209.23460853423,7.506930701974262e-06,141797.9653082375,7.052237636757334e-06,201047.1754501041,4.9739322317211415e-06,113908.66920042358,8.778885998171974e-06,5.294065923299204e-11
-29.653314826107337,16.458660466750423,0,No Data,ND,0.2,0,0,0,0,,,,,130897.57805149353,7.63950239097796e-06,139835.03186645315,7.151232673385816e-06,193008.30810431947,5.181097273606673e-06,113494.73710780372,8.810903611737873e-06,5.463185910677065e-11
-29.653314826107337,16.558660466750425,0,No Data,ND,0.2,0,0,0,0,,,,,129279.5502733009,7.73511559075194e-06,138477.9507037592,7.221314105269672e-06,185131.31659734165,5.401542088272876e-06,113913.33701451705,8.778526269898421e-06,5.585769932138834e-11
-29.653314826107337,16.658660466750423,0,No Data,ND,0.2,0,0,0,0,,,,,128381.45496669871,7.789226341398374e-06,137797.60578767353,7.256967472812071e-06,177437.80353946515,5.635745846187384e-06,115155.47727530802,8.683836321332323e-06,5.6526162197898966e-11
